canonical_location_id,canonical_location_name,sort_order
1,Starter,0
170,Twinleaf Town,1
171,Route 201,2
172,Lake Verity,3
173,Route 202,4
174,Route 203,5
175,Oreburgh Gate,6
176,Oreburgh City,7
177,Oreburgh Mine,8
178,Route 207,9
179,Route 204,10
180,Ravaged Path,11
181,Floaroma Meadow,12
182,Route 205,13
183,Valley Windworks,14
184,Eterna Forest,15
185,The Old Chateau,16
186,Eterna City,17
187,Route 206,18
188,Wayward Cave,19
189,Mt. Coronet,20
190,Route 208,21
191,Hearthome City,22
192,Route 209,23
193,The Lost Tower,24
194,Solaceon Ruins,25
195,Route 210,26
196,Route 215,27
197,Veilstone City,28
205,Route 214,29
206,Ruin Maniac's Cave,30
207,Ruin Maniac's Tunnel,31
203,Valor Lakefront,32
199,Pastoria City,33
200,Great Marsh,34
201,Route 212,35
202,Route 213,36
208,Celestic Town,37
209,Fuego Ironworks,38
210,Route 219,39
211,Route 220,40
213,Route 221,41
214,Route 218,42
215,Canalave City,43
216,Iron Island,44
217,Route 211,45
218,Route 216,46
219,Route 217,47
220,Acuity Lakefront,48
221,Lake Acuity,49
227,Distortion World,50
223,Route 222,51
224,Sunyshore City,52
225,Route 223,53
48,Victory Road,54
226,Pokémon League,55
222,Snowpoint Temple,56
